Institute_Code,Program,Total_Pool,OPEN_Gender_Neutral,OPEN_Female_Only,OBC_NCL_Gender_Neutral,OBC_NCL_Female_Only,SC_Gender_Neutral,SC_Female_Only,ST_Gender_Neutral,ST_Female_Only
101,"Civil Engineering (4 Years, Bachelor of Technology)",59,22,5,14,4,9,1,3,1
101,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12,4,1,4,0,1,1,1,0
101,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11,3,1,3,1,2,0,0,1
101,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10,4,1,2,0,1,1,1,0
101,"Computer Science and Engineering (4 Years, Bachelor of Technology)",60,22,5,14,4,8,2,4,1
101,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12,4,1,3,1,1,0,1,1
101,"Electrical Engineering (4 Years, Bachelor of Technology)",58,22,5,14,4,8,1,3,1
101,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",11,4,1,3,1,1,0,1,0
101,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",47,18,3,11,2,7,2,3,1
101,"Mechanical Engineering (4 Years, Bachelor of Technology)",59,21,6,14,4,9,1,3,1
101,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",12,4,1,3,1,2,0,1,0
101,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12,4,1,3,1,1,1,1,0
101,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10,4,1,2,0,1,1,1,0
101,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",23,8,2,6,1,3,1,1,1
101,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10,4,1,2,0,1,0,1,1
102,"Aerospace Engineering (4 Years, Bachelor of Technology)",68,24,6,16,4,9,3,5,1
102,"BS in Mathematics (4 Years, Bachelor of Science)",20,8,2,5,1,2,1,1,0
102,"Chemical Engineering (4 Years, Bachelor of Technology)",124,45,10,29,7,18,5,8,2
102,"Chemistry (4 Years, Bachelor of Science)",29,11,2,7,2,4,0,2,1
102,"Civil Engineering (4 Years, Bachelor of Technology)",145,52,14,35,8,19,5,9,3
102,"Computer Science and Engineering (4 Years, Bachelor of Technology)",159,59,15,39,10,19,5,9,3
102,"Economics (4 Years, Bachelor of Science)",29,10,3,7,1,4,1,2,1
102,"Electrical Engineering (4 Years, Bachelor of Technology)",97,36,8,23,7,12,4,6,1
102,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",78,28,7,18,5,10,3,6,1
102,"Energy Engineering (4 Years, Bachelor of Technology)",39,14,3,9,2,6,1,3,1
102,"Engineering Physics (4 Years, Bachelor of Technology)",50,18,4,12,3,7,1,4,1
102,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",39,14,4,9,2,5,1,3,1
102,"Mechanical Engineering (4 Years, Bachelor of Technology)",168,61,14,42,9,23,6,11,2
102,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",113,41,9,29,6,15,4,8,1
103,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",26,9,2,6,2,4,1,2,0
103,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",26,10,2,5,2,4,1,2,0
103,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",26,10,2,6,2,3,1,2,0
103,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",25,9,2,5,2,4,1,2,0
103,"Bio Engineering (4 Years, Bachelor of Technology)",26,10,2,4,2,4,1,3,0
103,"BS in Chemical Sciences (4 Years, Bachelor of Science)",26,9,2,6,2,4,1,2,0
103,"Civil Engineering (4 Years, Bachelor of Technology)",42,15,3,11,3,6,1,2,1
103,"Computer Science and Engineering (4 Years, Bachelor of Technology)",68,25,7,17,3,9,2,4,1
103,"Data Science and Engineering (4 Years, Bachelor of Technology)",42,16,3,10,3,5,1,3,1
103,"Electrical Engineering (4 Years, Bachelor of Technology)",60,22,6,15,4,7,1,4,1
103,"Engineering Physics (4 Years, Bachelor of Technology)",26,10,2,6,2,3,1,2,0
103,"Mechanical Engineering (4 Years, Bachelor of Technology)",52,18,5,13,2,7,2,4,1
104,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",61,22,5,14,4,9,2,4,1
104,"Chemical Engineering (4 Years, Bachelor of Technology)",63,23,5,15,4,8,2,5,1
104,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",39,13,4,9,2,5,2,3,1
104,"Civil Engineering (4 Years, Bachelor of Technology)",95,35,9,22,6,12,3,6,2
104,"Computer Science and Engineering (4 Years, Bachelor of Technology)",85,31,7,20,5,11,3,6,2
104,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",32,11,3,8,2,4,1,2,1
104,"Electrical Engineering (4 Years, Bachelor of Technology)",101,37,9,25,5,13,4,6,2
104,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",58,20,5,14,4,8,2,4,1
104,"Energy Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
104,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
104,"Engineering Physics (4 Years, Bachelor of Technology)",55,19,5,13,4,8,2,3,1
104,"Materials Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
104,"Mathematics and Computing (4 Years, Bachelor of Technology)",74,28,6,18,5,10,2,4,1
104,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",30,10,3,7,3,4,1,2,0
104,"Mechanical Engineering (4 Years, Bachelor of Technology)",81,30,7,20,5,10,3,5,1
104,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",77,27,7,18,5,10,3,6,1
104,"Textile Technology (4 Years, Bachelor of Technology)",80,30,7,19,5,10,3,5,1
105,"Chemical Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
105,"Civil Engineering (4 Years, Bachelor of Technology)",46,17,4,10,3,6,2,3,1
105,"Computer Science and Engineering (4 Years, Bachelor of Technology)",69,24,7,16,5,9,2,5,1
105,"Electrical Engineering (4 Years, Bachelor of Technology)",72,26,7,16,5,9,3,5,1
105,"Engineering Physics (4 Years, Bachelor of Technology)",18,6,2,5,1,2,1,1,0
105,"Mathematics and Computing (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
105,"Mechanical Engineering (4 Years, Bachelor of Technology)",73,26,7,17,5,9,3,5,1
105,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",46,17,4,10,3,6,2,3,1
105,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",18,6,2,5,1,2,1,1,0
106,"Aerospace Engineering (4 Years, Bachelor of Technology)",37,13,3,8,2,5,1,4,1
106,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",24,8,3,7,1,3,1,1,0
106,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",40,14,3,10,2,6,1,3,1
106,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",38,14,3,9,2,5,1,3,1
106,"Applied Geology (4 Years, Bachelor of Science)",44,16,4,11,2,6,1,3,1
106,"Architecture (5 Years, Bachelor of Architecture)",33,12,3,8,2,4,1,2,1
106,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",31,11,3,8,1,5,1,2,0
106,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",31,11,3,8,1,4,1,2,1
106,"Chemical Engineering (4 Years, Bachelor of Technology)",66,25,5,16,4,9,2,4,1
106,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",31,11,2,8,2,5,1,2,0
106,"Chemistry (4 Years, Bachelor of Science)",38,14,3,9,2,5,1,3,1
106,"Civil Engineering (4 Years, Bachelor of Technology)",73,27,6,18,4,10,2,5,1
106,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",30,11,3,7,2,4,1,2,0
106,"Computer Science and Engineering (4 Years, Bachelor of Technology)",67,25,5,17,4,9,2,4,1
106,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",52,19,4,13,3,7,2,3,1
106,"Economics (4 Years, Bachelor of Science)",50,18,4,13,3,7,1,3,1
106,"Electrical Engineering (4 Years, Bachelor of Technology)",67,25,5,17,4,9,2,4,1
106,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",29,11,3,7,1,4,1,2,0
106,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",72,28,6,19,4,10,1,4,0
106,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",52,19,4,13,3,7,2,3,1
106,"Exploration Geophysics (4 Years, Bachelor of Science)",38,14,3,9,2,5,1,3,1
106,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",37,13,3,9,2,5,1,3,1
106,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",26,10,3,6,1,3,1,2,0
106,"Instrumentation Engineering (4 Years, Bachelor of Technology)",38,13,3,9,2,6,1,3,1
106,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",38,14,3,9,2,5,1,3,1
106,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",20,7,2,5,1,3,1,1,0
106,"Mathematics and Computing (4 Years, Bachelor of Science)",59,22,5,15,3,7,2,4,1
106,"Mechanical Engineering (4 Years, Bachelor of Technology)",80,30,7,21,4,12,1,5,0
106,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",61,23,5,15,3,8,2,4,1
106,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",52,19,4,13,3,6,2,4,1
106,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,9,3,6,2,5,1,2,0
106,"Mining Engineering (4 Years, Bachelor of Technology)",53,19,4,13,3,7,2,4,1
106,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",26,9,3,6,1,3,1,3,0
106,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",24,9,3,6,1,3,1,1,0
106,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",39,14,3,10,2,5,1,3,1
106,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",29,10,2,7,2,5,1,2,0
106,"Physics (4 Years, Bachelor of Science)",43,16,4,10,2,6,1,3,1
107,"Artificial Intelligence (4 Years, Bachelor of Technology)",29,11,2,8,2,3,1,2,0
107,"Biomedical Engineering (4 Years, Bachelor of Technology)",22,7,2,5,2,3,1,2,0
107,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",21,8,2,4,1,3,1,2,0
107,"Chemical Engineering (4 Years, Bachelor of Technology)",39,15,4,9,2,4,1,3,1
107,"Civil Engineering (4 Years, Bachelor of Technology)",52,17,5,13,3,7,2,4,1
107,"Computational Engineering (4 Years, Bachelor of Technology)",22,8,2,4,1,3,1,2,1
107,"Computer Science and Engineering (4 Years, Bachelor of Technology)",56,19,5,14,3,8,2,4,1
107,"Electrical Engineering (4 Years, Bachelor of Technology)",56,19,5,14,4,7,2,4,1
107,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",21,8,2,4,1,3,1,2,0
107,"Engineering Physics (4 Years, Bachelor of Technology)",29,11,3,7,2,3,1,2,0
107,"Engineering Science (4 Years, Bachelor of Technology)",34,12,3,9,1,5,1,2,1
107,"Industrial Chemistry (4 Years, Bachelor of Technology)",21,8,2,4,1,3,1,2,0
107,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",30,11,3,8,2,4,1,1,0
107,"Mathematics and Computing (4 Years, Bachelor of Technology)",20,8,1,6,1,3,1,0,0
107,"Mechanical Engineering (4 Years, Bachelor of Technology)",56,19,5,14,4,8,1,4,1
108,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
108,"Bio Engineering (4 Years, Bachelor of Technology)",44,15,5,10,3,6,1,3,1
108,"Chemical Engineering (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
108,"Chemistry with Specialization (4 Years, Bachelor of Science)",27,11,3,6,1,3,1,2,0
108,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
108,"Computer Science and Engineering (4 Years, Bachelor of Technology)",68,25,5,16,4,9,3,5,1
108,"Electrical Engineering (4 Years, Bachelor of Technology)",65,22,6,16,4,9,2,5,1
108,"Materials Engineering (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
108,"Mechanical Engineering (4 Years, Bachelor of Technology)",69,26,6,16,4,8,3,5,1
108,"Physics with Specialization (4 Years, Bachelor of Science)",27,11,3,6,1,3,1,2,0
109,"Aerospace Engineering (4 Years, Bachelor of Technology)",59,21,6,14,4,7,2,4,1
109,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",45,17,4,11,3,5,2,2,1
109,"Chemical Engineering (4 Years, Bachelor of Technology)",90,33,8,21,5,12,3,6,2
109,"Chemistry (4 Years, Bachelor of Science)",42,14,3,11,2,6,2,3,1
109,"Civil Engineering (4 Years, Bachelor of Technology)",127,45,12,30,8,18,4,8,2
109,"Computer Science and Engineering (4 Years, Bachelor of Technology)",110,40,9,27,6,14,4,8,2
109,"Earth Sciences (4 Years, Bachelor of Science)",37,13,4,10,2,4,1,2,1
109,"Economics (4 Years, Bachelor of Science)",44,16,4,10,3,5,2,3,1
109,"Electrical Engineering (4 Years, Bachelor of Technology)",164,60,14,39,10,22,6,10,3
109,"Materials Science and Engineering (4 Years, Bachelor of Technology)",73,27,6,17,5,9,3,5,1
109,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",55,19,5,13,3,8,2,4,1
109,"Mechanical Engineering (4 Years, Bachelor of Technology)",127,46,11,31,7,17,5,8,2
109,"Physics (4 Years, Bachelor of Science)",38,13,4,10,2,4,1,3,1
109,"Statistics and Data Science (4 Years, Bachelor of Science)",24,8,2,6,2,3,1,2,0
110,"Aerospace Engineering (4 Years, Bachelor of Technology)",55,19,5,13,4,7,2,4,1
110,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",9,3,1,2,1,1,0,1,0
110,"Biological Engineering (4 Years, Bachelor of Technology)",37,13,4,8,2,5,1,3,1
110,"Biological Science (4 Years, Bachelor of Science)",37,13,4,8,2,5,1,3,1
110,"Chemical Engineering (4 Years, Bachelor of Technology)",99,35,9,24,6,13,4,6,2
