Institute_Code,Program,Total_Pool,OPEN_Gender_Neutral,OPEN_Female_Only,OBC_NCL_Gender_Neutral,OBC_NCL_Female_Only,SC_Gender_Neutral,SC_Female_Only,ST_Gender_Neutral,ST_Female_Only
110,"Civil Engineering (4 Years, Bachelor of Technology)",107,39,9,26,7,14,4,6,2
110,"Computer Science and Engineering (4 Years, Bachelor of Technology)",75,26,7,18,5,10,3,5,1
110,"Electrical Engineering (4 Years, Bachelor of Technology)",131,47,12,31,8,18,5,8,2
110,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",63,23,6,15,4,8,2,4,1
110,"Engineering Physics (4 Years, Bachelor of Technology)",36,13,4,8,2,5,1,2,1
110,"Mechanical Engineering (4 Years, Bachelor of Technology)",183,66,16,44,11,25,6,12,3
110,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",59,21,6,14,4,7,2,4,1
110,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",67,24,6,16,4,9,2,5,1
110,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",12,4,1,3,1,1,1,1,0
111,"Artificial Intelligence (4 Years, Bachelor of Technology)",26,9,2,6,2,4,1,2,0
111,"Chemical Engineering (4 Years, Bachelor of Technology)",43,16,4,10,3,5,1,3,1
111,"Civil Engineering (4 Years, Bachelor of Technology)",33,12,3,8,2,4,1,2,1
111,"Computer Science and Engineering (4 Years, Bachelor of Technology)",42,16,3,10,3,5,1,3,1
111,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",17,6,1,4,1,3,0,1,1
111,"Electrical Engineering (4 Years, Bachelor of Technology)",42,15,3,11,3,6,1,2,1
111,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",18,7,1,4,1,3,0,1,1
111,"Materials Engineering (4 Years, Bachelor of Technology)",34,12,3,8,1,5,1,3,1
111,"Mechanical Engineering (4 Years, Bachelor of Technology)",43,16,4,10,3,5,1,3,1
111,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",17,6,2,4,1,2,1,1,0
112,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",44,16,4,10,3,6,1,3,1
112,"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",9,3,1,2,1,1,0,1,0
112,"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",9,3,1,2,1,2,0,0,0
112,"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",9,3,1,2,0,1,1,1,0
112,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",9,3,1,2,1,1,0,1,0
112,"B. Tech. (EEE)-M. Tech. in (Power &. Control) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",9,3,1,2,1,2,0,0,0
112,"B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",9,3,1,2,1,1,0,1,0
112,"B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",9,3,1,2,1,1,0,1,0
112,"B. Tech. (ME) - MBA (NITIE) (5 Years, Bachelor of Technology and MBA (Dual Degree))",13,4,2,3,1,2,0,1,0
112,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",9,3,1,2,0,1,1,1,0
112,"Chemical Engineering (4 Years, Bachelor of Technology)",59,22,4,14,4,8,2,4,1
112,"Chemical Science and Technology (4 Years, Bachelor of Technology)",36,13,3,9,2,5,1,2,1
112,"Civil Engineering (4 Years, Bachelor of Technology)",60,21,5,14,4,7,2,6,1
112,"Computer Science and Engineering (4 Years, Bachelor of Technology)",72,26,6,18,4,9,3,5,1
112,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",43,15,4,10,3,6,1,3,1
112,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",43,15,4,10,3,6,1,3,1
112,"Engineering Physics (4 Years, Bachelor of Technology)",36,13,3,9,2,5,1,2,1
112,"Mathematics and Computing (4 Years, Bachelor of Technology)",43,15,4,10,3,6,1,3,1
112,"Mechanical Engineering (4 Years, Bachelor of Technology)",74,28,6,18,4,10,3,4,1
112,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",39,14,4,10,2,5,1,2,1
113,"Architecture (5 Years, Bachelor of Architecture)",25,8,3,6,2,3,1,2,0
113,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",39,13,4,9,3,5,1,3,1
113,"Chemical Engineering (4 Years, Bachelor of Technology)",101,36,9,24,6,13,4,7,2
113,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",30,11,3,8,2,3,1,2,0
113,"Civil Engineering (4 Years, Bachelor of Technology)",148,53,13,36,8,20,6,9,3
113,"Computer Science and Engineering (4 Years, Bachelor of Technology)",93,33,8,22,6,12,3,7,2
113,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",34,12,3,9,2,5,1,1,1
113,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",28,10,3,7,2,4,1,1,0
113,"Electrical Engineering (4 Years, Bachelor of Technology)",142,52,12,34,8,20,4,9,3
113,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",94,33,9,22,6,12,3,7,2
113,"Engineering Physics (4 Years, Bachelor of Technology)",42,15,3,10,3,6,2,3,0
113,"Geological Technology (5 Years, Integrated Master of Technology)",32,12,3,7,2,4,1,2,1
113,"Geophysical Technology (5 Years, Integrated Master of Technology)",35,12,4,7,2,5,1,3,1
113,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",42,15,4,9,3,6,1,3,1
113,"Mechanical Engineering (4 Years, Bachelor of Technology)",129,47,11,31,7,17,5,9,2
113,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",69,25,7,17,4,10,1,5,0
113,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",23,9,2,6,2,2,1,1,0
113,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",50,18,5,12,3,6,2,3,1
114,"Applied Geology (5 Years, Integrated Master of Technology)",18,7,1,5,1,2,1,1,0
114,"Applied Geophysics (5 Years, Integrated Master of Technology)",18,7,1,5,1,2,1,1,0
114,"Chemical Engineering (4 Years, Bachelor of Technology)",46,17,4,11,3,6,1,3,1
114,"Civil Engineering (4 Years, Bachelor of Technology)",58,21,5,14,4,7,2,4,1
114,"Computer Science and Engineering (4 Years, Bachelor of Technology)",116,42,10,28,7,15,4,8,2
114,"Electrical Engineering (4 Years, Bachelor of Technology)",104,37,9,25,6,14,4,7,2
114,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",106,38,10,25,6,14,4,7,2
114,"Engineering Physics (4 Years, Bachelor of Technology)",27,10,2,6,2,4,1,2,0
114,"Environmental Engineering (4 Years, Bachelor of Technology)",41,15,4,9,3,5,1,3,1
114,"Mathematics and Computing (5 Years, Integrated Master of Technology)",46,17,4,11,3,6,1,3,1
114,"Mechanical Engineering (4 Years, Bachelor of Technology)",111,40,10,27,6,15,4,7,2
114,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",38,14,3,9,2,5,1,3,1
114,"Mining Engineering (4 Years, Bachelor of Technology)",105,38,9,25,6,14,4,7,2
114,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",50,18,4,12,3,7,2,3,1
114,"Petroleum Engineering (4 Years, Bachelor of Technology)",78,28,7,19,5,10,3,5,1
115,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",18,6,2,4,1,2,1,2,0
115,"Chemical Engineering (4 Years, Bachelor of Technology)",29,11,2,6,2,4,1,2,1
115,"Civil Engineering (4 Years, Bachelor of Technology)",29,12,2,6,2,4,1,1,1
115,"Computer Science and Engineering (4 Years, Bachelor of Technology)",72,25,7,18,4,9,3,5,1
115,"Electrical Engineering (4 Years, Bachelor of Technology)",72,25,7,17,5,11,2,4,1
115,"Engineering Physics (4 Years, Bachelor of Technology)",21,6,3,6,1,2,1,2,0
115,"Mathematics and Computing (4 Years, Bachelor of Technology)",30,10,3,9,1,3,1,2,1
115,"Mechanical Engineering (4 Years, Bachelor of Technology)",72,27,7,16,4,9,3,5,1
115,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",25,9,2,6,2,3,1,1,1
116,"Architecture (5 Years, Bachelor of Architecture)",23,8,2,5,2,3,1,2,0
116,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",21,7,2,5,1,3,1,2,0
116,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",17,6,2,4,1,2,1,1,0
116,"Ceramic Engineering (4 Years, Bachelor of Technology)",64,23,6,15,4,9,2,4,1
116,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",17,6,2,4,1,2,1,1,0
116,"Chemical Engineering (4 Years, Bachelor of Technology)",133,48,12,32,8,18,4,9,2
116,"Civil Engineering (4 Years, Bachelor of Technology)",103,37,9,25,6,14,3,7,2
116,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",26,10,2,6,2,3,1,2,0
116,"Computer Science and Engineering (4 Years, Bachelor of Technology)",85,31,8,20,5,11,3,6,1
116,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",30,10,3,7,2,4,1,2,1
116,"Electrical Engineering (4 Years, Bachelor of Technology)",98,35,9,24,6,13,3,6,2
116,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",27,10,2,6,2,4,1,1,1
116,"Electronics Engineering (4 Years, Bachelor of Technology)",113,41,10,27,7,15,4,7,2
116,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",24,9,2,6,1,3,1,2,0
116,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",18,6,2,4,1,2,1,2,0
116,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",23,9,2,6,1,3,1,1,0
116,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",44,16,4,10,3,6,1,3,1
116,"Mechanical Engineering (4 Years, Bachelor of Technology)",127,46,11,30,8,17,4,9,2
116,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",26,10,2,6,2,4,0,1,1
116,"Metallurgical Engineering (4 Years, Bachelor of Technology)",91,33,8,22,5,12,3,6,2
116,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",24,9,2,6,1,3,1,2,0
116,"Mining Engineering (4 Years, Bachelor of Technology)",118,42,11,29,7,16,4,7,2
116,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,10,3,6,2,4,1,1,1
116,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",68,25,6,16,4,9,2,5,1
116,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",18,6,2,4,1,2,1,2,0
117,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",71,26,6,17,5,9,2,5,1
117,"Chemical Engineering (4 Years, Bachelor of Technology)",82,29,8,20,5,10,2,6,2
117,"Chemical Science and Technology (4 Years, Bachelor of Technology)",55,20,5,13,3,8,2,3,1
117,"Civil Engineering (4 Years, Bachelor of Technology)",100,35,10,23,6,13,3,8,2
117,"Computer Science and Engineering (4 Years, Bachelor of Technology)",97,35,9,22,6,13,3,7,2
117,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",26,10,2,6,2,3,1,2,0
117,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",89,32,9,21,6,12,2,6,1
117,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",53,19,4,12,4,7,2,4,1
117,"Energy Engineering (4 Years, Bachelor of Technology)",17,7,2,3,1,2,1,1,0
117,"Engineering Physics (4 Years, Bachelor of Technology)",59,21,6,14,3,8,2,4,1
117,"Mathematics and Computing (4 Years, Bachelor of Technology)",61,22,5,15,4,9,2,3,1
117,"Mechanical Engineering (4 Years, Bachelor of Technology)",101,36,9,25,6,13,3,7,2
118,"Computer Science and Engineering (4 Years, Bachelor of Technology)",49,17,4,12,3,7,2,3,1
118,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",36,12,3,9,3,4,2,3,0
118,"Electrical Engineering (4 Years, Bachelor of Technology)",46,17,4,11,3,6,1,3,1
118,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",16,6,2,3,1,3,0,1,0
118,"Mechanical Engineering (4 Years, Bachelor of Technology)",43,16,4,10,2,6,1,3,1
118,"Mechatronics Engineering (4 Years, Bachelor of Technology)",17,6,2,4,1,2,1,1,0
119,"Computer Science and Engineering (4 Years, Bachelor of Technology)",35,13,3,9,1,5,1,2,1
119,"Electrical Engineering (4 Years, Bachelor of Technology)",35,12,4,9,2,4,1,3,0
119,"Mathematics and Computing (4 Years, Bachelor of Technology)",26,8,4,6,2,4,0,2,0
119,"Mechanical Engineering (4 Years, Bachelor of Technology)",38,15,2,9,2,5,2,2,1
120,"Civil Engineering (4 Years, Bachelor of Technology)",34,12,2,9,2,5,1,2,1
120,"Computer Science and Engineering (4 Years, Bachelor of Technology)",34,14,2,8,2,4,1,2,1
120,"Data Science and Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
120,"Electrical Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
120,"Mechanical Engineering (4 Years, Bachelor of Technology)",35,12,3,9,2,5,1,2,1
121,"Chemical Engineering (4 Years, Bachelor of Technology)",34,12,4,8,2,3,2,3,0
121,"Civil Engineering (4 Years, Bachelor of Technology)",35,12,4,7,3,4,2,3,0
121,"Computer Science and Engineering (4 Years, Bachelor of Technology)",45,16,4,11,3,7,1,2,1
121,"Electrical Engineering (4 Years, Bachelor of Technology)",51,18,5,12,3,8,1,3,1
121,"Mechanical Engineering (4 Years, Bachelor of Technology)",44,16,4,11,2,6,1,3,1
122,"Chemical Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
122,"Civil Engineering (4 Years, Bachelor of Technology)",34,12,3,8,2,5,1,2,1
122,"Computer Science and Engineering (4 Years, Bachelor of Technology)",35,13,3,8,2,5,1,3,0
122,"Electrical Engineering (4 Years, Bachelor of Technology)",34,12,3,8,3,4,1,3,0
122,"Materials Engineering (4 Years, Bachelor of Technology)",34,13,2,9,2,4,1,2,1
122,"Mathematics and Computing (4 Years, Bachelor of Technology)",35,12,4,8,2,4,2,3,0
122,"Mechanical Engineering (4 Years, Bachelor of Technology)",34,13,3,8,2,5,1,2,0
123,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",13,4,1,3,1,2,1,1,0
123,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",14,5,1,3,1,2,1,1,0
123,"Computer Science and Engineering (4 Years, Bachelor of Technology)",56,20,5,13,4,7,2,4,1
123,"Electrical Engineering (4 Years, Bachelor of Technology)",52,18,5,12,3,7,2,4,1
123,"Engineering Physics (4 Years, Bachelor of Technology)",13,4,1,3,1,2,1,1,0
123,"Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",52,19,5,11,3,7,2,4,1
123,"Mathematics and Computing (4 Years, Bachelor of Technology)",25,9,2,5,2,4,1,2,0
123,"Mechanical Engineering (4 Years, Bachelor of Technology)",42,15,4,11,3,5,1,2,1